"displacement:0","displacement:1","displacement:2","displacement loads:0","displacement loads:1","displacement loads:2","displacement_magnitude","displacement_vector_derived:0","displacement_vector_derived:1","displacement_vector_derived:2","engineering_shear_strain_xy_derived","max_principal_strain_derived","strain_plane_derived:0","strain_plane_derived:1","strain_plane_derived:2","strain_xx_derived","strain_yy_derived","stress_plane_derived_pa:0","stress_plane_derived_pa:1","stress_plane_derived_pa:2","stress_xx","stress_xx_derived_pa","stress_xy","stress_xy_derived_pa","stress_xz","stress_yy","stress_yy_derived_pa","stress_yz","stress_zz","von_mises_derived_pa","vonmises","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.2931e-05,-0.00029828,0,-2.9575e-09,-1.8249e-08,0,0.00031246,9.2931e-05,-0.00029828,0,-6.2015e-05,3.0791e-05,5.035e-07,-2.0552e-06,-6.2015e-05,5.035e-07,-2.0552e-06,-26087,-4.3941e+05,-5.0089e+06,50546,-26087,-5.05e+06,-5.0089e+06,0,-4.3114e+05,-4.3941e+05,0,0,8.8884e+06,8.9629e+06,1,1,0.16,0.16,0.05,0
9.2941e-05,-0.00030715,0,-3.7429e-09,-3.8154e-08,0,0.00032096,9.2941e-05,-0.00030715,0,-6.1148e-05,3.0367e-05,3.9808e-07,-2.0483e-06,-6.1148e-05,3.9808e-07,-2.0483e-06,-49938,-4.4511e+05,-4.9389e+06,18755,-49938,-4.9854e+06,-4.9389e+06,0,-4.3294e+05,-4.4511e+05,0,0,8.7895e+06,8.871e+06,1,1,0.165,0.165,0.05,0
9.2941e-05,-0.000316,0,-3.1132e-09,-4.6153e-08,0,0.00032943,9.2941e-05,-0.000316,0,-6.0259e-05,2.9937e-05,2.6916e-07,-2.0278e-06,-6.0259e-05,2.6916e-07,-2.0278e-06,-78275,-4.4933e+05,-4.8671e+06,-19029,-78275,-4.9167e+06,-4.8671e+06,0,-4.2978e+05,-4.4933e+05,0,0,8.691e+06,8.7775e+06,1,1,0.17,0.17,0.05,0
9.2947e-05,-0.00032472,0,5.1929e-09,-1.7495e-08,0,0.00033781,9.2947e-05,-0.00032472,0,-5.9281e-05,2.9454e-05,1.546e-07,-2.0332e-06,-5.9281e-05,1.546e-07,-2.0332e-06,-1.0508e+05,-4.5849e+05,-4.7881e+06,-35264,-1.0508e+05,-4.8331e+06,-4.7881e+06,0,-4.5094e+05,-4.5849e+05,0,0,8.5788e+06,8.6619e+06,1,1,0.175,0.175,0.05,0
9.2942e-05,-0.0003334,0,4.258e-09,1.7499e-08,0,0.00034615,9.2942e-05,-0.0003334,0,-5.8296e-05,2.8969e-05,-4.5854e-09,-2.0284e-06,-5.8296e-05,-4.5854e-09,-2.0284e-06,-1.4148e+05,-4.6841e+05,-4.7085e+06,-59311,-1.4148e+05,-4.7475e+06,-4.7085e+06,0,-4.7524e+05,-4.6841e+05,0,0,8.4729e+06,8.5483e+06,1,1,0.18,0.18,0.05,0
9.2951e-05,-0.00034194,0,3.4522e-09,-3.5583e-09,0,0.00035439,9.2951e-05,-0.00034194,0,-5.7421e-05,2.867e-05,3.5963e-07,-2.1127e-06,-5.7421e-05,3.5963e-07,-2.1127e-06,-63269,-4.6264e+05,-4.6378e+06,23155,-63269,-4.674e+06,-4.6378e+06,0,-4.6007e+05,-4.6264e+05,0,0,8.3478e+06,8.418e+06,1,1,0.185,0.185,0.05,0
9.2949e-05,-0.00035045,0,1.3234e-08,-3.2227e-08,0,0.0003626,9.2949e-05,-0.00035045,0,-5.6582e-05,2.8374e-05,6.3302e-07,-2.1716e-06,-5.6582e-05,6.3302e-07,-2.1716e-06,-4260.8,-4.5732e+05,-4.5701e+06,86354,-4260.8,-4.6075e+06,-4.5701e+06,0,-4.4755e+05,-4.5732e+05,0,0,8.2349e+06,8.3054e+06,1,1,0.19,0.19,0.05,0
9.2961e-05,-0.00035881,0,1.569e-08,-7.4172e-09,0,0.00037069,9.2961e-05,-0.00035881,0,-5.573e-05,2.7965e-05,4.7344e-07,-2.1354e-06,-5.573e-05,4.7344e-07,-2.1354e-06,-38579,-4.6e+05,-4.5013e+06,42426,-38579,-4.545e+06,-4.5013e+06,0,-4.4597e+05,-4.6e+05,0,0,8.1454e+06,8.2231e+06,1,1,0.195,0.195,0.05,0
9.2962e-05,-0.00036714,0,1.0487e-08,2.0714e-08,0,0.00037876,9.2962e-05,-0.00036714,0,-5.4855e-05,2.7554e-05,3.0126e-07,-2.0877e-06,-5.4855e-05,3.0126e-07,-2.0877e-06,-75010,-4.6091e+05,-4.4306e+06,-5165.3,-75010,-4.4781e+06,-4.4306e+06,0,-4.3859e+05,-4.6091e+05,0,0,8.056e+06,8.1394e+06,1,1,0.2,0.2,0.05,0
9.2968e-05,-0.00037531,0,7.7208e-09,3.0086e-08,0,0.00038669,9.2968e-05,-0.00037531,0,-5.3901e-05,2.7094e-05,1.4502e-07,-2.0686e-06,-5.3901e-05,1.4502e-07,-2.0686e-06,-1.0974e+05,-4.6732e+05,-4.3535e+06,-30651,-1.0974e+05,-4.3959e+06,-4.3535e+06,0,-4.5895e+05,-4.6732e+05,0,0,7.9538e+06,8.0344e+06,1,1,0.205,0.205,0.05,0
9.2962e-05,-0.00038344,0,7.6416e-09,2.9505e-08,0,0.00039458,9.2962e-05,-0.00038344,0,-5.2932e-05,2.6633e-05,-5.1423e-08,-2.0417e-06,-5.2932e-05,-5.1423e-08,-2.0417e-06,-1.5322e+05,-4.7472e+05,-4.2753e+06,-62550,-1.5322e+05,-4.3102e+06,-4.2753e+06,0,-4.8291e+05,-4.7472e+05,0,0,7.8584e+06,7.93e+06,1,1,0.21,0.21,0.05,0
9.2972e-05,-0.00039142,0,-5.9534e-09,9.5337e-09,0,0.00040234,9.2972e-05,-0.00039142,0,-5.2126e-05,2.638e-05,3.5185e-07,-2.1236e-06,-5.2126e-05,3.5185e-07,-2.1236e-06,-65823,-4.6571e+05,-4.2101e+06,19589,-65823,-4.2491e+06,-4.2101e+06,0,-4.6265e+05,-4.6571e+05,0,0,7.7393e+06,7.815e+06,1,1,0.215,0.215,0.05,0
9.297e-05,-0.00039935,0,-1.9394e-08,7.2373e-09,0,0.00041006,9.297e-05,-0.00039935,0,-5.1352e-05,2.6129e-05,6.6448e-07,-2.1834e-06,-5.1352e-05,6.6448e-07,-2.1834e-06,2180.5,-4.5787e+05,-4.1477e+06,81467,2180.5,-4.1937e+06,-4.1477e+06,0,-4.4513e+05,-4.5787e+05,0,0,7.6325e+06,7.7172e+06,1,1,0.22,0.22,0.05,0
9.2982e-05,-0.00040712,0,-1.1849e-08,5.8516e-08,0,0.00041763,9.2982e-05,-0.00040712,0,-5.0568e-05,2.5811e-05,5.4505e-07,-2.1812e-06,-5.0568e-05,5.4505e-07,-2.1812e-06,-25227,-4.6563e+05,-4.0843e+06,43711,-25227,-4.1373e+06,-4.0843e+06,0,-4.6082e+05,-4.6563e+05,0,0,7.5711e+06,7.6661e+06,1,1,0.225,0.225,0.05,0
9.2984e-05,-0.00041485,0,-3.6426e-09,8.6536e-08,0,0.00042517,9.2984e-05,-0.00041485,0,-4.9768e-05,2.5485e-05,4.3008e-07,-2.1766e-06,-4.9768e-05,4.3008e-07,-2.1766e-06,-51441,-4.7252e+05,-4.0197e+06,7476.8,-51441,-4.0789e+06,-4.0197e+06,0,-4.7224e+05,-4.7252e+05,0,0,7.5067e+06,7.6116e+06,1,1,0.23,0.23,0.05,0
9.299e-05,-0.0004224,0,2.4478e-09,2.9253e-08,0,0.00043255,9.299e-05,-0.0004224,0,-4.8826e-05,2.5138e-05,2.6741e-07,-2.1553e-06,-4.8826e-05,2.6741e-07,-2.1553e-06,-87506,-4.7887e+05,-3.9436e+06,-33921,-87506,-3.994e+06,-3.9436e+06,0,-4.8262e+05,-4.7887e+05,0,0,7.4462e+06,7.5369e+06,1,1,0.235,0.235,0.05,0
9.299e-05,-0.00042991,0,1.1904e-08,4.1834e-09,0,0.00043988,9.299e-05,-0.00042991,0,-4.786e-05,2.4784e-05,1.0876e-07,-2.1387e-06,-4.786e-05,1.0876e-07,-2.1387e-06,-1.2296e+05,-4.8601e+05,-3.8656e+06,-74649,-1.2296e+05,-3.9052e+06,-3.8656e+06,0,-4.9626e+05,-4.8601e+05,0,0,7.3846e+06,7.4578e+06,1,1,0.24,0.24,0.05,0
9.2993e-05,-0.00043725,0,6.9226e-09,5.8944e-09,0,0.00044706,9.2993e-05,-0.00043725,0,-4.6918e-05,2.4515e-05,3.4849e-07,-2.2183e-06,-4.6918e-05,3.4849e-07,-2.2183e-06,-73156,-4.8779e+05,-3.7896e+06,-30041,-73156,-3.8332e+06,-3.7896e+06,0,-5.0115e+05,-4.8779e+05,0,0,7.295e+06,7.3754e+06,1,1,0.245,0.245,0.05,0
9.2995e-05,-0.00044453,0,-7.1295e-09,-2.9521e-08,0,0.00045419,9.2995e-05,-0.00044453,0,-4.5992e-05,2.426e-05,5.6905e-07,-2.2878e-06,-4.5992e-05,5.6905e-07,-2.2878e-06,-27068,-4.8856e+05,-3.7147e+06,9579.2,-27068,-3.7647e+06,-3.7147e+06,0,-5.0362e+05,-4.8856e+05,0,0,7.2111e+06,7.3028e+06,1,1,0.25,0.25,0.05,0
9.3e-05,-0.00045164,0,-9.1433e-09,-3.4749e-08,0,0.00046115,9.3e-05,-0.00045164,0,-4.4947e-05,2.3878e-05,6.5082e-07,-2.3261e-06,-4.4947e-05,6.5082e-07,-2.3261e-06,-10851,-4.9175e+05,-3.6303e+06,14876,-10851,-3.6736e+06,-3.6303e+06,0,-5.1361e+05,-4.9175e+05,0,0,7.1056e+06,7.1866e+06,1,1,0.255,0.255,0.05,0
9.3004e-05,-0.0004587,0,-1.4536e-09,-5.3098e-10,0,0.00046806,9.3004e-05,-0.0004587,0,-4.3905e-05,2.3501e-05,7.285e-07,-2.3634e-06,-4.3905e-05,7.285e-07,-2.3634e-06,4496.5,-4.9496e+05,-3.5462e+06,20954,4496.5,-3.5835e+06,-3.5462e+06,0,-5.2394e+05,-4.9496e+05,0,0,7.0024e+06,7.0723e+06,1,1,0.26,0.26,0.05,0
9.3008e-05,-0.00046557,0,-3.0671e-09,2.6993e-08,0,0.0004748,9.3008e-05,-0.00046557,0,-4.2908e-05,2.3096e-05,7.0335e-07,-2.3624e-06,-4.2908e-05,7.0335e-07,-2.3624e-06,-1236.9,-4.9647e+05,-3.4656e+06,838.4,-1236.9,-3.5017e+06,-3.4656e+06,0,-5.2666e+05,-4.9647e+05,0,0,6.8993e+06,6.9628e+06,1,1,0.265,0.265,0.05,0
